Link,Base Network,Prefix,A_end device,a_and Interface,a_end ip,z_end device,z_and Interface,z_end ip,,,
CE1_xe-0/0/2:xe-0/0/1_PE1,10.0.1,31,CE1,xe-0/0/2,0,PE1,xe-0/0/1,1,,,
CE1_xe-0/0/3:xe-0/0/1_PE2,10.1.0,31,CE1,xe-0/0/3,4,PE2,xe-0/0/1,5,,,
CE2_xe-0/0/2:xe-0/0/2_PE1,10.1.0,31,CE2,xe-0/0/2,6,PE1,xe-0/0/2,7,,,
CE2_xe-0/0/3:xe-0/0/0_PE2,10.1.0,31,CE2,xe-0/0/3,2,PE2,xe-0/0/0,3,,,
PE1_xe-0/0/3:xe-0/0/2_PE2,10.0.0,31,PE1,xe-0/0/3,0,PE2,xe-0/0/2,1,,,
PE1_xe-0/0/4:xe-0/0/1_P1,10.0.0,31,PE1,xe-0/0/4,2,P1,xe-0/0/1,3,,,
PE2_xe-0/0/3:xe-0/0/0_P2,10.0.0,31,PE2,xe-0/0/3,4,P2,xe-0/0/0,5,,,"NB:in this section, z_end ip is a_end +1"
P1_xe-0/0/3:xe-0/0/2_P2,10.0.0,31,P1,xe-0/0/3,6,P2,xe-0/0/2,7,,,
P1_xe-0/0/4:xe-0/0/3_P2,10.0.0,31,P1,xe-0/0/4,24,P2,xe-0/0/3,25,,,
P1_xe-0/0/2:xe-0/0/1_RR1,10.0.0,31,P1,xe-0/0/2,16,RR1,xe-0/0/1,17,,,
P2_xe-0/0/1:xe-0/0/3_RR1,10.0.0,31,P2,xe-0/0/1,18,RR1,xe-0/0/3,19,,,
RR1_xe-0/0/2:xe-0/0/1_RR2,10.0.0,31,RR1,xe-0/0/2,14,RR2,xe-0/0/1,15,,,
P1_xe-0/0/6:xe-0/0/1_PE3,10.0.0,31,P1,xe-0/0/6,8,PE3,xe-0/0/1,9,,,
P1_xe-0/0/5:xe-0/0/0_RR2,10.0.0,31,P1,xe-0/0/5,20,RR2,xe-0/0/0,21,,,
P2_xe-0/0/4:xe-0/0/2_RR2,10.0.0,31,P2,xe-0/0/4,22,RR2,xe-0/0/2,23,,,
P2_xe-0/0/5:xe-0/0/0_PE4,10.0.0,31,P2,xe-0/0/5,10,PE4,xe-0/0/0,11,,,
PE3_xe-0/0/2:xe-0/0/1_PE4,10.0.0,31,PE3,xe-0/0/2,12,PE4,xe-0/0/1,13,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
#IP Overrule Section,,,,,,,,,,,"NB:in this section, z_end ip is not generated from a_end"
H1_xe-0/0/1:xe-0/0/1_H1S,10.1.12,24,H1,xe-0/0/1,10,H1S,xe-0/0/1,5,,,
H1S_xe-0/0/2:xe-0/0/1_CE2,10.1.12,24,H1S,xe-0/0/2,6,CE2,xe-0/0/1,2,,,
H1S_xe-0/0/3:xe-0/0/1_CE1,10.1.12,24,H1S,xe-0/0/3,7,CE1,xe-0/0/1,1,,,
PE3_xe-0/0/3:xe-0/0/0_BRS,10.2.0,24,PE3,xe-0/0/3,33,BRS,xe-0/0/0,34,,,
PE4_xe-0/0/2:xe-0/0/1_BRS,10.2.0,24,PE4,xe-0/0/2,44,BRS,xe-0/0/1,45,,,
BR3_xe-0/0/1:xe-0/0/2_BRS,10.2.0,24,BR3,xe-0/0/1,3,BRS,xe-0/0/2,2,,,
BR4_xe-0/0/1:xe-0/0/3_BRS,10.2.0,24,BR4,xe-0/0/1,4,BRS,xe-0/0/3,5,,,
BR3_xe-0/0/2:xe-0/0/1_H3S,10.2.34,24,BR3,xe-0/0/2,3,H3S,xe-0/0/1,2,,,
BR4_xe-0/0/2:xe-0/0/2_H3S,10.2.34,24,BR4,xe-0/0/2,4,H3S,xe-0/0/2,5,,,
H3_xe-0/0/1:xe-0/0/3_H3S,10.2.34,24,H3,xe-0/0/1,30,H3S,xe-0/0/3,31,,,
